Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage	Genome assembly ID	Taxon mnemonic	Components	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000002240	Xenotropic MuLV-related virus (isolate VP62) (XMRV)	373193	3		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Gammaretrovirus, unclassified Gammaretrovirus, Murine leukemia-related retroviruses, XMRV-related viruses, Xenotropic MuLV-related virus	GCA_031121195.1	XMRV6	Segment	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses
UP000002241	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	11706	9		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Lentivirus humimdef1, Human immunodeficiency virus type 1, HIV-1 group M, HIV-1 M:B	GCA_003102975.1	HV1H2	Segment	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Lentivirus humimdef1
UP000002242	Human immunodeficiency virus type 2 subtype A (isolate BEN) (HIV-2)	11714	9		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Lentivirus humimdef2, Human immunodeficiency virus 2, HIV-2 subtype A	GCA_000856385.1	HV2BE	Segment	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Lentivirus humimdef2
UP000002317	Bovine viral diarrhea virus (isolate NADL) (BVDV) (Mucosal disease virus)	11100	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Pestivirus, Pestivirus bovis	GCA_000861245.1	BVDVN	Segment	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus bovis
UP000002319	Encephalomyocarditis virus (strain Rueckert) (EMCV)	2870365	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cardiovirus, Cardiovirus A	GCA_000862985.1	EMCVR	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus A
UP000002327	Vesicular stomatitis Indiana virus (strain San Juan) (VSIV)	11285	6		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Alpharhabdovirinae, Vesiculovirus, Vesiculovirus indiana, Vesicular stomatitis Indiana virus	GCA_000850045.1	VSIVA	Segment	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Vesiculovirus	Vesiculovirus indiana
UP000002328	Newcastle disease virus (strain Chicken/United States/B1/48) (NDV)	652953	8		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Avulavirinae, Orthoavulavirus, Orthoavulavirus javaense, Avian paramyxovirus 1	GCA_000862725.1	NDVB1	Segment	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Orthoavulavirus	Orthoavulavirus javaense
UP000002330	Nipah virus	3052225	9		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Paramyxoviridae, Orthoparamyxovirinae, Henipavirus	GCA_000863625.1	NIPAV	Segment	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Henipavirus	
UP000002473	Lassa virus (strain Mouse/Sierra Leone/Josiah/1976) (LASV)	11622	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Arenaviridae, Mammarenavirus, Mammarenavirus lassaense	GCA_000851705.1	LASSJ	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	Mammarenavirus	Mammarenavirus lassaense
UP000002474	Lymphocytic choriomeningitis virus (strain Armstrong) (LCMV)	11624	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Arenaviridae, Mammarenavirus, Mammarenavirus choriomeningitidis	GCA_004789475.1	LYCVA	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	Mammarenavirus	Mammarenavirus choriomeningitidis
UP000002476	Bunyamwera virus (BUNV)	35304	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Peribunyaviridae, Orthobunyavirus, Orthobunyavirus bunyamweraense	GCA_000849925.1	BUNYW	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus bunyamweraense
UP000002477	Rift valley fever virus (strain ZH-548 M12) (RVFV)	11589	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Phlebovirus, Phlebovirus riftense		RVFVZ	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Phlebovirus riftense
UP000002500	Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1)	11059	1		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Flasuviricetes, Amarillovirales, Flaviviridae, Orthoflavivirus, Orthoflavivirus denguei, Dengue virus, dengue virus type 1	GCA_000862125.1	DEN1W	Segment	Orthornavirae	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus	Orthoflavivirus denguei
UP000006040	Acute bee paralysis virus (strain Rothamsted) (ABPV)	1217067	3		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Dicistroviridae, Aparavirus, Aparavirus apisacutum, Acute bee paralysis virus	GCA_000856345.1	ABPVR	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Aparavirus	Aparavirus apisacutum
UP000006361	Red clover mottle virus (RCMV)	12262	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Comovirus, Comovirus trifolii	GCA_000860425.1	RCMV	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Comovirus trifolii
UP000006540	Mouse mammary tumor virus (strain C3H) (MMTV)	11759	5		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Betaretrovirus, Betaretrovirus murmamtum, Mouse mammary tumor virus		MMTVC	Genome	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Betaretrovirus murmamtum
UP000006543	Subterranean clover stunt C6 alphasatellite (SCSC6A)	1458459	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Nanoalphasatellitinae, Clostunsatellite, Clostunsatellite trifolii, Subterranean clover stunt alphasatellite 2	GCA_002149265.1	SCSC6	Segment 6	Viruses				Alphasatellitidae	Clostunsatellite	Clostunsatellite trifolii
UP000006566	Bovine enterovirus (strain VG-5-27) (BEV)	12065	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, Enterovirus, Enterovirus E	GCA_000863205.1	BOVEV	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus E
UP000006567	Bovine papillomavirus type 1	337052	9		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Deltapapillomavirus	GCA_000863985.1	BPV1	Genome	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Deltapapillomavirus	
UP000006568	Alphavirus salmon subtype 2 (SAV2) (Sleeping disease virus)	78540	2		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Togaviridae, Alphavirus, Alphavirus salmon, Alphavirus salmon subtype 1	GCA_000862545.1	SAV2	Segment	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Alphavirus salmon
UP000006574	Bat coronavirus HKU4 (BtCoV) (BtCoV/HKU4/2004)	694007	10		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Merbecovirus, Betacoronavirus tylonycteridis	GCA_000870505.1	BCHK4	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Betacoronavirus tylonycteridis
UP000006576	Bat coronavirus HKU9 (BtCoV) (BtCoV/HKU9)	694006	9		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Betacoronavirus, Nobecovirus, Betacoronavirus rousetti	GCA_000868045.1	BCHK9	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Betacoronavirus rousetti
UP000006624	Human parvovirus B19 (strain HV) (HPV B19)	648237	5		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Erythroparvovirus, Erythroparvovirus primate1, Human parvovirus B19	GCA_002827345.1	PAVHV	Segment	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Erythroparvovirus	Erythroparvovirus primate1
UP000006625	Moloney murine leukemia virus (isolate Shinnick) (MoMLV)	928306	3		Unknown	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Gammaretrovirus, Murine leukemia virus, Moloney murine leukemia virus	GCA_000854185.1	MLVMS	Segment	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus
UP000006674	Tomato spotted wilt virus (strain Brazilian Br-01) (TSWV)	36413	5		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Tospoviridae, Orthotospovirus, Tomato spotted wilt virus	GCA_000854725.1	TSWV1	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Tospoviridae	Orthotospovirus	Tomato spotted wilt virus
UP000006675	Hepatitis delta virus genotype I (isolate D380) (HDV)	31762	2		Unknown	Viruses, Ribozyviria, Kolmioviridae, Deltavirus, Hepatitis delta virus	GCA_000856565.1	HDVD3	Segment	Viruses				Kolmioviridae	Deltavirus	Hepatitis delta virus
UP000006685	Plum pox potyvirus (isolate NAT) (PPV)	12213	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus plumpoxi, Plum pox virus	GCA_000862085.1	PPVNA	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus plumpoxi
UP000006687	Porcine reproductive and respiratory syndrome virus (strain Lelystad) (PRRSV)	11049	10		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Arnidovirineae, Arteriviridae, Variarterivirinae, Betaarterivirus, Eurpobartevirus, Betaarterivirus suid 1	GCA_003971765.1	PRRSL	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	Betaarterivirus	Betaarterivirus suid 1
UP000006688	Papaya ringspot virus (strain P / mutant HA)	31731	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus papayanuli, Papaya ringspot virus, Papaya ringspot virus P	GCA_000862045.1	PRSVH	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus papayanuli
UP000006689	Pea seed-borne mosaic virus (strain DPD1)	31736	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Potyvirus, Potyvirus pisumsemenportati, Pea seed-borne mosaic virus	GCA_000860445.1	PSBMV	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus pisumsemenportati
UP000006703	Blackberry virus Y (isolate Blackberry plant/USA:Arkansas/C3ARK/2005) (BVY)	686949	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Brambyvirus, Brambyvirus rubi, Blackberry virus Y	GCA_000868605.1	BVY3	Segment	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Brambyvirus	Brambyvirus rubi
