Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000001095	Afipia clevelandensis ATCC 49720	883079	4205	C:100.0%[S:99.1%,D:0.9%],F:0.0%,M:0.0%,n:639	Unknown	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia	Afipia clevelandensis
UP000001218	Parabacteroides johnsonii CL02T12C29	999419	3736	C:99.8%[S:99.4%,D:0.4%],F:0.0%,M:0.2%,n:541	Unknown	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides johnsonii
UP000001584	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332	3996	C:99.1%[S:98.5%,D:0.5%],F:0.4%,M:0.5%,n:743	Close to standard (low value)	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis
UP000001806	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	107806	572	C:86.1%[S:85.9%,D:0.2%],F:1.1%,M:12.7%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000002192	Blochmanniella floridana	203907	583	C:85.0%[S:84.8%,D:0.2%],F:1.4%,M:13.6%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmanniella	
UP000002427	Baumannia cicadellinicola subsp. Homalodisca coagulata	374463	595	C:74.3%[S:74.3%,D:0.0%],F:0.8%,M:24.9%,n:366	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria			Candidatus Palibaumannia	Candidatus Palibaumannia cicadellinicola
UP000003019	Neisseria shayeganii 871	1032488	2530	C:97.9%[S:97.9%,D:0.0%],F:0.2%,M:1.9%,n:804	Outlier (high value)	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria shayeganii
UP000003597	Listeria innocua ATCC 33091	1002366	2938	C:96.0%[S:95.6%,D:0.4%],F:0.4%,M:3.6%,n:450	Unknown	Bacillati	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua
UP000003937	secondary endosymbiont of Heteropsylla cubana	134287	576	C:78.4%[S:78.2%,D:0.2%],F:1.8%,M:19.8%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
UP000004263	Bermanella marisrubri	207949	3303	C:97.1%[S:96.8%,D:0.3%],F:0.6%,M:2.3%,n:619	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Bermanella	
UP000004290	Streptococcus equinus ATCC 700338	864569	2088	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:402	Unknown	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus
UP000004754	Pseudoramibacter alactolyticus ATCC 23263	887929	2514	C:97.3%[S:97.0%,D:0.4%],F:0.8%,M:1.9%,n:264	Unknown	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Pseudoramibacter	Pseudoramibacter alactolyticus
UP000005149	Aeromonas dhakensis	196024	4447	C:99.7%[S:99.2%,D:0.5%],F:0.3%,M:0.0%,n:366	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	
UP000005178	Anaerofustis stercorihominis DSM 17244	445971	2331	C:96.2%[S:96.2%,D:0.0%],F:1.5%,M:2.3%,n:264	Unknown	Bacillati	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Anaerofustis	Anaerofustis stercorihominis
UP000005336	Neisseria wadsworthii 9715	1030841	2553	C:99.1%[S:99.1%,D:0.0%],F:0.2%,M:0.6%,n:804	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria wadsworthii
UP000005481	Anaeroglobus geminatus F0357	861450	2148	C:82.6%[S:82.6%,D:0.0%],F:9.2%,M:8.3%,n:218	Close to standard (high value)	Bacillati	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Anaeroglobus	Anaeroglobus geminatus
UP000006085	Bergeyella zoohelcum ATCC 43767	883096	2120	C:98.0%[S:97.8%,D:0.1%],F:0.1%,M:1.9%,n:733	Unknown	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Bergeyella	Bergeyella zoohelcum
UP000006163	Borreliella valaisiana VS116	445987	1349	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:345	Close to standard (high value)	Pseudomonadati	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella valaisiana
UP000006811	Buchnera aphidicola (Cinara tujafilina)	261317	359	C:60.5%[S:60.5%,D:0.0%],F:3.6%,M:35.9%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000007464	Blochmanniella vafra (strain BVAF)	859654	587	C:86.4%[S:86.4%,D:0.0%],F:0.7%,M:13.0%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmanniella	Candidatus Blochmanniella vafra
UP000007794	Blochmanniella pennsylvanica (strain BPEN)	291272	610	C:88.2%[S:88.2%,D:0.0%],F:1.4%,M:10.5%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmanniella	Candidatus Blochmanniella pennsylvanica
UP000009061	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	1142511	618	C:79.1%[S:78.9%,D:0.2%],F:1.4%,M:19.5%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia
UP000009874	Massilia timonae CCUG 45783	883126	5096	C:99.3%[S:98.4%,D:0.9%],F:0.1%,M:0.6%,n:688	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia timonae
UP000009875	Alloiococcus otitis ATCC 51267	883081	1627	C:96.3%[S:96.0%,D:0.2%],F:1.0%,M:2.7%,n:402	Unknown	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus	Alloiococcus otitis
UP000009887	Sphingobium yanoikuyae ATCC 51230	883163	5028	C:99.8%[S:99.1%,D:0.7%],F:0.1%,M:0.1%,n:1018	Unknown	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium yanoikuyae
UP000011541	Candidatus Kinetoplastibacterium oncopeltii TCC290E	1208920	693	C:79.1%[S:78.9%,D:0.2%],F:0.5%,M:20.4%,n:569	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastibacterium	Candidatus Kinetoplastibacterium oncopeltii
UP000011658	Candidatus Kinetoplastibacterium galatii TCC219	1208921	727	C:81.7%[S:81.5%,D:0.2%],F:0.7%,M:17.6%,n:569	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastibacterium	Candidatus Kinetoplastibacterium galatii
UP000011686	Candidatus Kinetoplastibacterium crithidii TCC036E	1208918	728	C:79.6%[S:79.6%,D:0.0%],F:1.2%,M:19.2%,n:569	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastibacterium	Candidatus Kinetoplastibacterium crithidii
UP000011704	Nitrospina gracilis (strain 3/211)	1266370	2962	C:91.1%[S:90.3%,D:0.8%],F:4.8%,M:4.0%,n:124	Unknown	Pseudomonadati	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	Nitrospina gracilis
UP000013167	Phycicoccus elongatus Lp2	1193181	3089	C:94.4%[S:94.0%,D:0.4%],F:1.9%,M:3.7%,n:537	Unknown	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Phycicoccus	Phycicoccus elongatus
UP000013981	Butyricicoccus pullicaecorum 1.2	1203606	3107	C:98.9%[S:98.5%,D:0.4%],F:0.0%,M:1.1%,n:264	Unknown	Bacillati	Bacillota	Clostridia	Eubacteriales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus pullicaecorum
UP000014923	Thermobrachium celere DSM 8682	941824	2370	C:99.6%[S:99.2%,D:0.4%],F:0.0%,M:0.4%,n:264	Unknown	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Thermobrachium	Thermobrachium celere
UP000015462	Cycloclasticus pugetii	34068	2264	C:94.5%[S:94.3%,D:0.2%],F:0.4%,M:5.1%,n:491	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	
UP000016023	Prevotella micans F0438	883158	2058	C:99.3%[S:99.3%,D:0.0%],F:0.0%,M:0.7%,n:541	Unknown	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella micans
UP000016201	Acinetobacter tandoii DSM 14970 = CIP 107469	1120927	3867	C:99.2%[S:97.5%,D:1.6%],F:0.0%,M:0.8%,n:366	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter tandoii
UP000016900	Candidatus Pantoea carbekii	1235990	825	C:93.0%[S:92.7%,D:0.2%],F:1.8%,M:5.2%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	
UP000017813	Simonsiella muelleri ATCC 29453	641147	2220	C:97.3%[S:97.3%,D:0.0%],F:0.2%,M:2.5%,n:804	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella	Simonsiella muelleri
UP000018554	Eikenella corrodens CC92I	1073362	2065	C:95.1%[S:95.0%,D:0.1%],F:0.1%,M:4.7%,n:804	Standard	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
UP000018733	Advenella kashmirensis W13003	1424334	4504	C:98.5%[S:98.1%,D:0.4%],F:0.4%,M:1.0%,n:688	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	Advenella kashmirensis
UP000023067	Brachybacterium phenoliresistens	396014	3605	C:96.5%[S:95.7%,D:0.7%],F:0.4%,M:3.2%,n:537	Unknown	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Brachybacterium	
UP000025947	Mycobacterium [tuberculosis] TKK-01-0051	1324261	5608	C:99.3%[S:98.8%,D:0.5%],F:0.3%,M:0.4%,n:743	Unknown	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium colombiense
UP000028500	Xenorhabdus bovienii str. kraussei Quebec	1398203	3959	C:99.3%[S:99.1%,D:0.2%],F:0.5%,M:0.2%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus bovienii
UP000029708	Oleiagrimonas soli	1543381	2676	C:93.8%[S:93.7%,D:0.1%],F:0.5%,M:5.7%,n:1152	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Oleiagrimonas	
UP000031627	Candidatus Tachikawaea gelatinosa	1410383	613	C:87.7%[S:87.5%,D:0.2%],F:1.4%,M:10.9%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Tachikawaea	
UP000032420	Candidatus Johnevansia muelleri	1495769	330	C:31.2%[S:31.2%,D:0.0%],F:0.6%,M:68.2%,n:619	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Candidatus Johnevansiales	Candidatus Johnevansiaceae	Candidatus Johnevansia	
UP000033558	Bombilactobacillus mellifer	1218492	1592	C:99.3%[S:99.0%,D:0.2%],F:0.0%,M:0.7%,n:402	Unknown	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	
UP000033567	Bifidobacterium mellis	1293823	1578	C:94.9%[S:94.9%,D:0.0%],F:0.3%,M:4.8%,n:292	Unknown	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
UP000033612	Lactobacillus kimbladii	1218506	1890	C:99.0%[S:98.3%,D:0.7%],F:0.2%,M:0.7%,n:402	Unknown	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
UP000033682	Lactobacillus apis	303541	1508	C:98.8%[S:98.3%,D:0.5%],F:0.7%,M:0.5%,n:402	Unknown	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
UP000033695	Bombilactobacillus mellis	1218508	1572	C:98.8%[S:98.5%,D:0.2%],F:0.5%,M:0.7%,n:402	Unknown	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Bombilactobacillus	
UP000037600	Catenovulum maritimum	1513271	3470	C:97.7%[S:97.3%,D:0.4%],F:0.0%,M:2.3%,n:820	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	
UP000051634	endosymbiont of Ridgeia piscesae	54398	3132	C:98.9%[S:98.9%,D:0.0%],F:0.0%,M:1.1%,n:366	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria				
UP000052258	Listeria fleischmannii 1991	1430899	2715	C:95.8%[S:95.3%,D:0.4%],F:0.4%,M:3.8%,n:450	Unknown	Bacillati	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria fleischmannii
UP000053380	Saccharibacillus sacchari DSM 19268	915437	299	C:12.7%[S:12.7%,D:0.0%],F:0.2%,M:87.1%,n:450	Unknown	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Saccharibacillus	Saccharibacillus sacchari
UP000053750	Paenibacillus darwinianus	1380763	2778	C:84.4%[S:84.0%,D:0.4%],F:3.3%,M:12.2%,n:450	Unknown	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
UP000053947	Dehalogenimonas alkenigignens	1217799	1927	C:98.5%[S:97.4%,D:1.1%],F:0.7%,M:0.7%,n:271	Unknown	Bacillati	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalogenimonas	
UP000056466	Candidatus Palibaumannia cicadellinicola	186490	550	C:70.5%[S:70.5%,D:0.0%],F:0.3%,M:29.2%,n:366	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria			Candidatus Palibaumannia	
UP000058012	Novosphingobium fuchskuhlense	1117702	3491	C:97.9%[S:97.8%,D:0.1%],F:0.1%,M:2.0%,n:1018	Unknown	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	
UP000061704	Candidatus Ishikawaella capsulata Mpkobe	476281	623	C:84.1%[S:83.9%,D:0.2%],F:0.7%,M:15.2%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Ishikawella	Candidatus Ishikawella capsulata
UP000069926	Candidatus Arsenophonus lipoptenae	634113	625	C:83.9%[S:83.6%,D:0.2%],F:1.1%,M:15.0%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus	
UP000070080	Amygdalobacter nucleatus	3029274	1471	C:82.6%[S:82.6%,D:0.0%],F:2.7%,M:14.8%,n:264	Unknown	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Amygdalobacter	
UP000070160	Megasphaera hutchinsoni	1588748	1514	C:95.9%[S:95.4%,D:0.5%],F:0.5%,M:3.7%,n:218	Unknown	Bacillati	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	
UP000070383	Anaerococcus tetradius	33036	1934	C:99.3%[S:99.3%,D:0.0%],F:0.2%,M:0.5%,n:433	Unknown	Bacillati	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
UP000070442	Aedoeadaptatus coxii	755172	1860	C:95.2%[S:95.2%,D:0.0%],F:1.2%,M:3.7%,n:433	Close to standard (high value)	Bacillati	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Aedoeadaptatus	
UP000070498	Agrobacterium bohemicum	2052828	4304	C:97.3%[S:97.1%,D:0.2%],F:0.1%,M:2.7%,n:1937	Unknown	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	
UP000070617	Fusobacterium equinum	134605	1852	C:98.4%[S:98.4%,D:0.0%],F:0.0%,M:1.6%,n:510	Unknown	Fusobacteriati	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
UP000070675	Atopobium deltae	1393034	1442	C:94.7%[S:94.5%,D:0.2%],F:1.3%,M:4.0%,n:548	Unknown	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	
UP000074382	Thermobifida cellulosilytica TB100	665004	3586	C:91.1%[S:90.9%,D:0.3%],F:0.9%,M:8.0%,n:1162	Unknown	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	Thermobifida	Thermobifida cellulosilytica
UP000077654	Buchnera aphidicola subsp. Schlechtendalia chinensis	118110	499	C:79.5%[S:79.3%,D:0.2%],F:0.9%,M:19.5%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000092809	secondary endosymbiont of Trabutina mannipara	1835721	237	C:42.3%[S:42.0%,D:0.2%],F:0.2%,M:57.5%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
UP000095477	Candidatus Hoaglandella endobia	1778263	517	C:73.9%[S:73.6%,D:0.2%],F:0.9%,M:25.2%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hoaglandella	
UP000095665	Candidatus Gullanella endobia	1070130	460	C:69.3%[S:69.1%,D:0.2%],F:0.2%,M:30.5%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Gullanella	
UP000095697	Candidatus Mikella endobia	1778264	273	C:46.1%[S:45.9%,D:0.2%],F:0.2%,M:53.6%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Mikella	
UP000214566	Thiomonas delicata (Thiomonas cuprina)	364030	3683	C:98.1%[S:97.4%,D:0.7%],F:0.6%,M:1.3%,n:688	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	
UP000221860	Limimaricola cinnabarinus	1125964	3547	C:98.3%[S:97.5%,D:0.8%],F:0.5%,M:1.2%,n:833	Close to standard (low value)	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Limimaricola	
UP000238954	Sphingopyxis lindanitolerans	2054227	4026	C:99.5%[S:99.4%,D:0.1%],F:0.1%,M:0.4%,n:1018	Unknown	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	
UP000242753	Candidatus Westeberhardia cardiocondylae	1594731	372	C:64.3%[S:64.3%,D:0.0%],F:1.1%,M:34.5%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Westeberhardia	
UP000243633	Buchnera aphidicola subsp. Tuberolachnus salignus	98804	382	C:64.8%[S:64.8%,D:0.0%],F:1.1%,M:34.1%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000256856	Candidatus Purcelliella pentastirinorum	472834	427	C:66.8%[S:66.8%,D:0.0%],F:1.6%,M:31.6%,n:440	Outlier (low value)	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Purcelliella	
UP000266796	Candidatus Kinetoplastibacterium sorsogonicusi	1576550	670	C:73.5%[S:73.5%,D:0.0%],F:1.1%,M:25.5%,n:569	Unknown	Pseudomonadati	Pseudomonadota	Betaproteobacteria			Candidatus Kinetoplastibacterium	
UP000273022	Parashewanella spongiae	342950	3857	C:98.8%[S:98.5%,D:0.2%],F:0.0%,M:1.2%,n:820	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Parashewanella	
UP000274327	Brachybacterium paraconglomeratum	173362	3225	C:98.1%[S:98.0%,D:0.2%],F:0.4%,M:1.5%,n:537	Unknown	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Brachybacterium	
UP000274458	Candidatus Annandia adelgestsuga	1302411	285	C:47.0%[S:46.8%,D:0.2%],F:0.2%,M:52.7%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Annandia	
UP000281474	Parashewanella curva	2338552	4117	C:98.3%[S:97.8%,D:0.5%],F:0.1%,M:1.6%,n:820	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Parashewanella	
UP000294462	Candidatus Erwinia haradaeae	1922217	630	C:86.4%[S:86.1%,D:0.2%],F:0.5%,M:13.2%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	
UP000296159	Brenneria corticis	2173106	4686	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	
UP000298603	Buchnera aphidicola (Therioaphis trifolii)	1241884	389	C:66.6%[S:66.4%,D:0.2%],F:1.4%,M:32.0%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000298636	Buchnera aphidicola (Stegophylla sp.)	2315800	354	C:61.8%[S:61.6%,D:0.2%],F:1.4%,M:36.8%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000298677	Buchnera aphidicola (Anoecia oenotherae)	1241833	444	C:70.7%[S:70.5%,D:0.2%],F:1.4%,M:28.0%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000298782	Buchnera aphidicola (Thelaxes californica)	1315998	455	C:71.8%[S:71.6%,D:0.2%],F:0.9%,M:27.3%,n:440	Unknown	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
UP000315388	Brucella gallinifaecis	215590	3370	C:99.7%[S:99.7%,D:0.0%],F:0.0%,M:0.3%,n:639	Close to standard (high value)	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	
UP000315816	Aliiroseovarius halocynthiae	985055	3251	C:99.6%[S:99.5%,D:0.1%],F:0.0%,M:0.4%,n:833	Outlier (low value)	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aliiroseovarius	
